吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
彩虹小镇	功能	购	彩虹小镇集科普教育、观光旅游、特色农产品销售、种植采摘、休闲养生为一体，具备吃、住、玩、购、教等功能，是具有高水平的经济效益、生态效益和社会效益的综合性多功能园区。
格斗刀	功能	割	格斗刀是野外战术的一种工具，常被用来户外或者野外生存所用，同时也被军人所喜好，格斗刀具有切、割、刺、砍功能，最大程度是为了发挥刺的优势。
自动烹饪锅	功能	焖	自动烹饪锅可以干炒、红烧、焖、蒸、煮、炖、煲等一锅多用的功能。
竭	说明	“尽”	竭(形声。字从立，从曷，曷亦声。“曷”意为“胸部”、“胸部起伏”。“立”指“站起来”。“立”与“曷”联合起来表示“身负重物站立起来”。本义：举重、负重。引申义：用力到达极限。说明：本字用同“极”、“尽”。
莺	释名	黄鸟	莺释名又叫黄鸟、黄鹂、仓庚、青鸟。
靛	植物	多年生草本	2.蓝靛，为爵床科植物马蓝BaphicacanthuscusiaBrem的叶经加工制得的粉末或团块，可作染料。药用时可用于温毒、发斑、血热吐衄、胸痛咳血、口疮、痄腮、喉痹、小儿惊痫等症状。植物形态多年生草本。
锆	化合价	+2	锆（Zirconium）是一种化学元素，它的化学符号是Zr，它的原子序数是40，是一种银白色的高熔点金属之一，呈浅灰色。密度6.49克/立方厘米。熔点1852±2℃，沸点4377℃。化合价+2、+3和+4。
锆	沸点	4377℃	锆（Zirconium）是一种化学元素，它的化学符号是Zr，它的原子序数是40，是一种银白色的高熔点金属之一，呈浅灰色。密度6.49克/立方厘米。熔点1852±2℃，沸点4377℃。
鲃	原产	欧洲	鲤科鲃属的一大类淡水鱼[barb]。原产欧洲、非洲及亚洲，典型种类的口周有一对或多对须，鳞大而亮。
鲊	部首	鱼部外	鲊：zhǎ部首笔画部首：鱼部外笔画：5总笔画：13五笔86:QGTF五笔98:QGTF仓颉：NMOS笔顺编号：3525121131211四角号码：28111Unicode:CJK统一汉字U+9C8A字形结构繁体字：鮓汉字首尾分解：鱼乍汉字部件分解：鱼乍笔顺读写：撇折竖折横竖横横撇横竖横横基本字义1.一种用盐和红曲腌的鱼：“江南人好作盘游饭，～脯脍炙，无有不埋在饭中”。
鲌	分布	湖泊都有	硬骨鱼纲鲤形目(Cypriniformes)鲤科(Cyprinidae)鲌亚科(Culterinae)鱼类的统称，又名白鱼。生活在江河湖泊的中型经济鱼类。在中国分布很广，除西北高原外，各江、河、湖泊都有，也见于苏联及朝鲜，图们江与鸭绿江无。
鲥	分布	中国	鲱科鱼，体侧扁，长70厘米，银白色，分布于中国、朝鲜、菲律宾沿海，是一种名贵食用鱼鲥鱼为溯河产卵的洄游性鱼类，因每年定时初夏时候入江，其他时间不出现，因此得名。
鲭	分布	热带海域	鲭，鱼类的一科，身体呈梭形而侧扁，鳞圆而细小，头尖，口大。分布在全世界温、热带海域，集成群活动。
谙	基本意思	熟悉	谙是一个汉字，基本意思是熟悉，精通。
铌	化学符号	Nb	化学符号Nb，原子序数41，原子量92.90638，属周期系ⅤB族。1801年英国C.哈切特从铌铁矿中分离出一种新元素的氧化物，并命名该元素为columbium（中译名钶）。
蔫	常见字义	有枯萎	蔫，汉字，读作niān，常见字义有枯萎、下垂的样子等。
粟	颜色	黄	粟生长耐旱，品种繁多，俗称“粟有五彩”，有白、红、黄、黑、橙、紫各种颜色的小米，也有粘性小米。中国最早的酒也是用小米酿造的。粟适合在干旱而缺乏灌溉的地区生长。其茎、叶较坚硬，可以作饲料，一般只有牛能消化。粟在中国北方俗称谷子。
临朐彩石	颜色	绿	临朐彩石，品种繁多，以其画面颜色和特点的不同，可分为五彩石、披绿石、水纹波浪石、藻化石、倒影石、竹子石、黑白玉石、古画石等品种。
开氅	颜色	黑	开氅的颜色有红、杏黄、蓝、白、黑、紫、绿、粉红、古铜、天蓝、草绿等，可以鲜艳轻快，也可以辉煌沉着。这些颜色的用法跟人物没有什么直接的关系。
奥林匹克环	颜色	红	奥林匹克标志，由五个奥林匹克环组成，环的颜色自左至右为蓝、黄、黑、绿、红（也可用单色绘制）。
塔吉克国旗	颜色	红	塔吉克国旗，主要颜色是红、白、绿三色。
无彩色	颜色	灰	无彩色（achromaticcolor）指除了彩色以外的其它颜色，常见的有金、银、黑、白、灰。
感光膜	颜色	蓝	感光膜，也称菲林膜，菲林纸。是以塑料透明薄膜为片基，在其上涂布一定厚度的感光乳剂而制成的。主要用于间接法和直间法制版，其产品颜色一般有红、蓝、绿三种。
圣诞色	颜色	红	圣诞色是西方人和家家户户欢度圣诞节时要用的装饰颜色，以红、绿、白三色为主色调。
环天顶弧	颜色	紫	环天顶弧(circumzenithalarc)的现象为在天空中形成如倒挂的彩虹一般的七色圆弧。其颜色顺序自下而上分别为：红、橙、黄、绿、蓝、靛、紫。
泥质岩	颜色	黄	泥质岩argillaceousrocks包括泥岩、粘土岩、页岩、板岩等。因形成条件不同，有白、灰白、灰、黄、绿、红褐、棕等各种颜色。
男士胸罩	颜色	黑	男士胸罩是日本一家厂商推出的专门为男人们设计胸罩，这种男士胸罩有黑、白、粉红三种颜色。
陀螺果	种	陀螺果	陀螺果（MelliodendronxylocarpumHand.-Mazz.），又名水冬瓜、冬瓜木、鸦头梨等，是安息香科陀螺果属植物，也是陀螺果属的属模式种。
岩色跃蛛	种	岩色跃蛛	岩色跃蛛，Sitticussaxicola(C.L.Koch)，跳蛛科跃蛛属的一个物种。
黄花冷水花	种	黄花冷水花	黄花冷水花（学名：PilealongicaulisHand.-Mazz.var.flavifloraC.J.Chen）为荨麻科冷水花属下的一个变种。
秋茄	种	秋茄树	秋茄，即秋茄树，Kandeliacandel(Linn.)Druce，红树科秋茄树属植物，红树林的常见品种，果实形状似笔，成熟后跟茄子非常相似。
黑藜芦	种	黑藜芦	黑藜芦（学名：Veratrumnigrum）为百合科藜芦属下的一个种。
瑰丽七夕鱼	种	瑰丽七夕鱼	瑰丽七夕鱼，即丽鮗（学名：Calloplesiopsaltivelis），又称瑰丽鮗、瑰丽七夕鱼、近美七夕鱼、孔雀七夕鱼、海水斗鱼，为辐鳍鱼纲鲈形目七夕鱼科丽鮗属的其中一个种。
白线鲈	种	白线鲈	白线鲈，Anyperodonleucogrammicus，属于辐鳍鱼纲鲈形目鲈亚目鮨科光腭鲈属的其中一个种，也叫白线光颚鲈、白线光颌鮨、白线鮨。
波缘凤仙花	种	波缘凤仙花	波缘凤仙花（学名：Impatiensundulata）为凤仙花科凤仙花属下的一个种。
臭红菇	种	臭红菇	臭红菇又名臭黄菇，是担子菌纲伞菌目红菇科的一种真菌类生物。
大叶蛇总管	种	显脉香茶菜	大叶蛇总管，是一种植物药材，取自唇形科植物显脉香茶菜的全草，主治急性传染性肝炎，疮毒湿疹，皮肤瘙痒。
宽翅闪花蝇	种	宽翅闪花蝇	宽翅闪花蝇，Acrostilpnalatipennis(Zetterstedt，1838)，花蝇科闪花蝇属的一个物种。
黑麦嵩草	种	黑麦嵩草	黑麦嵩草（学名：Kobresialoliacea）为莎草科嵩草属下的一个种。
长翅鹞	种	长翅鹞	长翅鹞，Circusbuffoni（Gmelin,1788），脊索动物门、鸟纲、隼形目、鹰科、鹞亚科、鹞属的一个物种。
薄叶双盖蕨	种	薄叶双盖蕨	薄叶双盖蕨为属蹄盖蕨科双盖蕨属下植物其分布于我国浙江、福建、江西、湖南、广西、贵州、四川和云南等省区，日本也有分布，为东亚分布的种类。
缨腹泉蝇	种	缨腹泉蝇	缨腹泉蝇，Pegomyacrinisternita（Fan,FanQ.S.etMaS.Y.），花蝇科泉蝇属的一个物种。
美丽水绵	种	美丽水绵	美丽水绵（学名：SpirogyravenustaJao）是双星藻科、水绵属下的一个植物种。
塔圆腹蛛	种	塔圆腹蛛	塔圆腹蛛，Dipoenaturriceps(Schenkel，1936)，球蛛科,圆腹蛛属的一个物种。
维氏双边鱼	种	维氏双边鱼	维氏双边鱼，Ambassisvachellii，双边鱼科双边鱼属的一个物种。
噪鸥属	种	即鸥嘴噪鸥	噪鸥属鸟纲燕鸥科动物本属仅1种即鸥嘴噪鸥Gelochelidonnilotica。
珍珠丽七夕鱼	种	珍珠丽七夕鱼	珍珠丽七夕鱼，Calloplesiopsaltivelis，七夕鱼科丽鮗属的一个物种。
丽江马先蒿丽江亚种	种	丽江马先蒿丽江亚种	丽江马先蒿丽江亚种（拉丁学名：PedicularislikiangensisFranch.subsp.likiangensis）是玄参科，马先蒿属多年生草本植物，高可达18厘米，无主根，茎在当年的植株中多单条，节上毛尤多而长。
竹都玄灰蝶	种	竹都玄灰蝶	竹都玄灰蝶，TongeiazuthusLeech，灰蝶科玄灰蝶属的一个种。
网纹石斑鱼	种	网纹石斑鱼	网纹石斑鱼，Epinephelusmerra，又称蜂巢石斑鱼。是鮨科石斑鱼属的一个物种。
天胡荽金腰	种	天胡荽金腰	天胡荽金腰，虎耳草科、金腰属的一种植物，多年生草本，高约27厘米。
细灰蝶	种	细灰蝶	细灰蝶Leptotesplinius(Fabricius,1793)，灰蝶科细灰蝶属的一个物种。
盾翅藤	种	盾翅藤	盾翅藤（学名：Aspidopterysglabriuscula），为金虎尾科盾翅藤属下的一个植物种。
木里赤瓟	种	木里赤瓟	木里赤瓟（学名：Thladianthalijiangensisvar.latisepala）为葫芦科赤瓟属下的一个变种。
红腿雀鹰	种	红腿雀鹰	红腿雀鹰，Accipitererythropus（Hartlaub,1855），脊索动物门、鸟纲、隼形目、鹰科、鹰亚科、鹰属的一个物种。
西安棘蝇	种	西安棘蝇	西安棘蝇，Phaoniaxianensis（XueetCao，1989），蝇科棘蝇属的一个物种。
双珠大绢蝶	种	双珠大绢蝶	双珠大绢蝶，ParnassiusimperatorOberthur，绢蝶科绢蝶属的一个物种。
勐仑银斑蛛	种	勐仑银斑蛛	勐仑银斑蛛，Argyrodesmenlunensis（ZhuetSong，1991），球蛛科银斑蛛属的一个物种，分布于云南。
珠履带蛱蝶	种	珠履带蛱蝶	珠履带蛱蝶，AthymaasuraMoore，蛱蝶科带蛱蝶属的一个物种。
锐片毛蕨	种	锐片毛蕨	锐片毛蕨是金星蕨科的一个物种，特产于云南东南部。
连萼谷精草	种	连萼谷精草	连萼谷精草（学名：EriocaulonbuergerianumKoern）是谷精草科、谷精草属下的一个物种，属于丛生类植物。
毛笋泉蝇	种	毛笋泉蝇	毛笋泉蝇，Pegomyaphyllostachys（Fan，1964），花蝇科泉蝇属的一个物种。
双斑黑尺蛾	种	双斑黑尺蛾	双斑黑尺蛾，Abaciscuscostimacula(Warren,1912)，尺蛾科的一个物种。
花豹盛蛱蝶	种	花豹盛蛱蝶	花豹盛蛱蝶（姬黄三线蝶）Symbrenthiahypselis(Godart,)，鳞翅目蛱蝶科盛蛱蝶属的一个物种。
新西兰蛎鹬	种	新西兰蛎鹬	新西兰蛎鹬，Haematopusunicolor（Forster,1844），是蛎鹬科蛎鹬属一种中型涉禽。
红带花鮨	种	红带花鮨	红带花鮨，Pseudanthiasrubrizonatus，鮨科花鮨属的一个物种。
黄风藤	种	毛玉叶金花	黄风藤是一种中草药。药材基源为双子叶植物药茜草科植物毛玉叶金花的茎叶。
射毛悬竹	种	射毛悬竹	射毛悬竹（学名：Ampelocalamusactinotrichus）为禾本科悬竹属下的一个种。
岷江金丝梅	种	岷江金丝梅	岷江金丝梅（学名：Hypericumhenryisp.uraloides）为藤黄科金丝桃属下的一个亚种。
宽带樗蚕	种	眉纹天蚕蛾	宽带樗蚕，Samiacynthiacanningi(Hutton，1860)，是大蚕蛾科樗蚕蛾属眉纹天蚕蛾的一个亚种。
石棉南星	种	石棉南星	石棉南星，是天南星科天南星属的一种植物。
内斑小舟蛾	种	内斑小舟蛾	内斑小舟蛾，Micromelalophadorsimacula（Kiriakoff，1963），舟蛾科小舟蛾属的一个物种。
高山豆属	种	高山豆属	高山豆属，豆蝶形花科，多年生草本，植株呈莲座状，下分4种，生于海拔2000米以上的高山林缘或灌丛草地，分布于我国甘肃、四川、云南及西藏。
小斑螟	种	小斑螟	小斑螟，Aglossacaprealis，斑蛾科的一个物种。
粉头皇鸠	种	粉头皇鸠	粉头皇鸠，拉丁名叫Ducularosacea，鸽形目鸠鸽科皇鸠属的一个物种。
长蔓通泉草	种	长蔓通泉草	长蔓通泉草（学名：Mazuslongipes），为玄参科通泉草属下的一个植物种。
西藏点地梅	种	西藏点地梅	西藏点地梅（学名：Androsacemariae）为报春花科点地梅属下的一个种。
剡纸	特点	白	由于其白和韧的特点，剡纸不但是书写上品还可用来制帐、制被。
剡纸	特点	薄	剡纸的主要特色是薄、韧、白、滑，因而也被称为“玉叶纸”。由于其白和韧的特点，剡纸不但是书写上品还可用来制帐、制被。
双零楼	特点	透	如果用十个字来概括“双零楼”的综合特点的话，那就是：高，大，宽，通，透，亮，多，绿，湿，美。
双炊糕	特点	香	双炊糕是浙江瑞安汉族糕点，由名师李瑞庆创制于清代光绪年间，距今已有100多年的历史。它用糯米粉加白糖或红糖拌匀过筛，撒上桂花，成型切块，经两番炊制而成。其特点是：细、软、韧、香、甜、老少皆宜，是温州市名牌菜食。
八集小花生	特点	脆	八集小花生是泗阳名特产之一，有着悠久的历史和浓郁的地方特色。因产于江苏省泗阳县八集乡，而得名。花生壳薄，肉嫩，口感好，富含钙、铁、镁、锌等微量元素，含油量高达40%-43%。经过炒制，具有白、香、甜、脆的特点。
合伯宝剑	特点	强	当代的合伯宝剑承袭了古代手工千锤百炼、金属改性的传统工艺，具备“强、韧、硬、弹”四大特点，硬可斩钉截铁，韧可弯曲120度不断裂变形，光鉴寒霜，灵气逼人。
捞汁	特点	酸	捞汁是一款由酿造酱油、果汁、酿造食醋及各种香辛料调和而成的复合调味汁；捞汁的口味特点是：酸、甜、鲜、咸、微辣；捞汁菜品是一款凉拌菜的升级与创新产品，少放汁即为拌菜，多放汁即为捞菜；捞汁菜以无油、低盐、多醋、多素，满足了广大老百姓对健康饮食的需求。
岐山面	特点	筋	它的特点是：面条细长，厚薄均匀，臊子鲜香，红油浮面，汤味酸辣，筋韧爽口，老幼皆宜。岐山面在关中地区有其非常重要的地位，在婚丧、逢年过节、孩子满月、老人过寿、迎接亲朋等重要场合都离不开。
岐山面	特点	光	岐山面以薄、筋、光、煎、稀、汪、酸、辣、香而著名。它的特点是：面条细长，厚薄均匀，臊子鲜香，红油浮面，汤味酸辣，筋韧爽口，老幼皆宜。岐山面在关中地区有其非常重要的地位，在婚丧、逢年过节、孩子满月、老人过寿、迎接亲朋等重要场合都离不开。
小孩酥糖	特点	香	小孩酥糖,又名小儿酥、小儿酥糖、小孩酥，是徐州汉族传统名点，起源于清朝乾隆年间，其特点是“香、酥、甜”三性具备，是老少皆宜之佳品。
宁式苔生片	特点	脆	宁式苔生片是浙江宁波汉族糕点代表品种之一。宁式片糕有几百年生产历史。不少片糕生产季节较强，而苔生片却可长年生产，产品具有香、松、脆和苔菜咸鲜味等特点，深受群众欢迎。
感王韭菜	特点	长	感王韭菜的特点是长、宽、白、绿、嫩、脆、味鲜。
围纱	特点	薄	围纱，服饰的一种，轻盈、薄、软、透明是其特点。
红西凤	特点	辣	红西凤产于陕西省宝鸡市凤翔县柳林镇，西凤酒是以大麦、豌豆制成，优质高粱为原料，配以凤凰泉泉水，贮存三年，再经勾兑而成。具有集清香、浓香于一体，酸、甜、苦、辣、香五味俱全的特点。
秸秆	特点	钾	农作物光合作用的产物有一半以上存在于秸秆中，秸秆富含氮、磷、钾、钙、镁和有机质等，是一种具有多用途的可再生的生物资源，秸秆也是一种粗饲料。特点是粗纤维含量高（30%-40%），并含有木质素等。
简报	特点	实	也可以说，简报就是简要的调查报告，简要的情况报告，简要的工作报告，简要的消息报道等。它具有简、精、快、新、实、活和连续性等特点。
碎米鸡丁	特点	滑	具有地方特色，基本特点是咸并微甜，带有酸辣味，脆嫩适口。碎米鸡丁将细碎的鸡丁、花生碎、以及葱花、泡椒碎末混合在一起，入口感觉香、脆、滑、嫩、鲜，实在是配米饭的好菜。
桂花高	特点	糯	其名取自“桂花高下一般香”的诗句。 口感具有香、软、糯三大特点，滋味浓郁，回韵悠长加上“无加匪物”的高端品质，颇受消费者的喜爱。
花仙峡	特点	奇	花仙峡集自然山水之幽、秀、险、奇等特点于一体，一直鲜为人知，无人涉足，与小山峡、大宁河等旅游区相比，有过之而无不及，是极具开发价值的旅游处女地。
闯王刀	特点	快	闯王刀以技击实践为中心，编排套路结构严紧，布局匀称，运动清晰，招术奇特，手法惊异，步法多变，美无花架，实而不华，马上步下均适用。攻如猛虎下山，具迅雷不及掩耳之势，防时稳如泰山，伺机相还。临阵应用，以攻为主，先发制人。其特点是猛、快、巧、准。
麻筒	特点	酥	“蓼花”与“麻筒”均具有营养丰富、酥脆可口的特点。
麻筒	特点	香	仙游县生产麻筒历史悠久，是福建具有松、香、酥、脆、清甜的独特风味的名点。以糯米、蔗糖、纯碱、麦芽糖为原料，经制作成冬瓜样的白果条后，油炸为蓼花胚。如沾满蓼花米即成“蓼花”，若沾满炒芝麻，由成为“麻筒”。“蓼花”与“麻筒”均具有营养丰富、酥脆可口的特点。
醋溜油条	特点	甜	家里剩下的油条，不吃可惜，加热一下口感又不好，所以今天做一道如何使剩下的油条既美味又达到不浪费的菜肴—醋溜油条，其特点是：酸、甜、酥、脆。
咖喱素鸡块	工艺	炒	咖喱素鸡块是一道美食，原料工艺：炒口味：咖喱味。
亵衣	工艺	贴	古代女子的内衣最早被称为“亵衣”。过腰、胸、肩等分别系带，是为了在流动中达到不同的‘塑身修形’效果。袋口的拼接处，必须绣上小幅图案来遮住线的结点，保持画面完整，这便是所谓‘触景生情’”，且汇聚了绣、缝、贴、补、缀、盘、滚等几十种工艺，用以表达不同的主题。
八宝脱骨鸡	工艺	炖	八宝脱骨鸡是一道美食，主要原料是鸡，口味是咸鲜味，工艺是炖，营养丰富，味道可口。
冰糖花生猪脚	工艺	煮	冰糖花生猪脚的做法详细介绍菜系及功效：家常菜谱补血食谱补虚养身食谱口味：甜味工艺：煮。
冬阴功汤面	工艺	煮	冬阴功汤面属于东南亚菜，主要原料是面条、虾肉、蘑菇，口味是酸辣，工艺是煮，难度属于中级。
五香烤鱼	工艺	腌	五香烤鱼是烤鱼中的一种，与以往人们熟悉的烧烤制品有所不同，它融合了腌、烤、炖等多种工艺技术，先烤后炖，既传承了烧烤工艺又结合了火锅用料的特点，口味鲜香，营养丰富。
南瓜糯米饼	工艺	煎	南瓜糯米饼属于点心菜谱，主要原料是南瓜、糯米粉；工艺是煎，制作简单！。
公婆饼	工艺	烤	公婆饼是恩施地区十大名小吃之一，因其突出的民族风味和特殊的制作工艺深受人们的喜爱。主要食材是面粉，主要烹饪工艺是烤。
剁椒蚕豆春笋	工艺	炒	剁椒蚕豆春笋素食，主要原料是蚕豆，春笋，口味是微辣，工艺是炒，难度属于中级。
印度式烟鲳鱼	工艺	烤	印度式烟鲳鱼属于印度菜，主要原料是鲳鱼，口味是鲜香，工艺是烤，难度属于高级。
五彩龙利鱼丁	工艺	炒	五彩龙利鱼丁属于家常菜谱，主要原料是火龙果、青椒/甜椒、胡萝卜，口味是鲜香，工艺是炒，难度属于中级。
冰镇盐津滑鸡	工艺	腌	冰镇盐津滑鸡由盐腌鸡，麻油、鸡粉调调料，按照一定的炒作工艺制作的菜肴。
台式香辣红烧牛肉面	工艺	煮	台式香辣红烧牛肉面属于精品主食，主要原料是面条、牛腩，口味是辣，工艺是煮，难度属于中级，希望您按此菜谱制作！。
三丝白菜卷	工艺	拌	三丝白菜卷是以大白菜（白梗）为主料，辅以胡萝卜、香菇、青椒，加入白砂糖、香油、花椒、姜等调料后，以拌为主要工艺，做成的一道私家菜，有健脾开胃调节便秘的功效。
大黄鸭饭	工艺	炒	大黄鸭饭属于宝宝/儿童，主要原料是大米、南瓜、西葫芦，口味是香，工艺是炒，难度属于中级。
海蟹萝卜汤	工艺	煮	海蟹萝卜汤属于羹/汤，主要原料是螃蟹、白萝卜，口味是鲜，工艺是煮，难度属于中级。
肉末菜粥	工艺	煮	肉末菜粥属于粥/稀饭，主要原料是大米，口味是香，工艺是煮，难度属于中级。
虫草花木瓜排骨汤	工艺	煮	虫草花木瓜排骨汤属于羹/汤，主要原料是排骨、木瓜，口味是鲜，工艺是煮，难度属于中级。
面线鱼	工艺	煮	面线鱼是一道美味可口的汉族传统佳肴，属于家常菜谱，主要原料是桂鱼、乌冬面、油菜，口味是香，工艺是煮。
鲜肉香芋盒	工艺	炸	鲜肉香芋盒是一道美食，主要原料是荔浦芋、肥瘦猪肉、开洋，口味是香脆，工艺是炒、炸。
吉祥兽	中国	龙	中国四大吉祥兽为：龙、凤、龟、麒麟。吉祥兽的表现形式多种多样，其中以书画、雕刻为主。四大吉祥兽中，除龟外其他三种都为人民所虚化出来的形象，因此从造型上来说各个地方各个时代会有差别。
味噌鱼排	质	嫩	味噌鱼排是一道日本料理，是选用雕鱼柳为主料，用味噌腌制入味后，再用油炸至金黄色而成。雕鱼柳刺少质嫩，味道鲜美，很适合怕鱼刺者常食。
不锈钢筛管	应用	气	不锈钢筛管又称为滤水管，被广泛用于油，气，水井防砂工业中，尤其在水井工业中地位突出，在水资源过滤筛管中应用广泛。不锈钢筛管采用全绕焊生产工艺，应用特制梯形丝绕组在呈圆周式排列的一组支撑丝上焊制而成。
三丁煎排骨	口感	嫩	三丁煎排骨，一道川香味家常菜，肉质嫩、鲜、脆、香的口感，百吃不厌。
白灼章鱼	口感	脆	白灼章鱼吃的是原味，上等白灼章鱼材料必须新鲜生猛，冷冻海鲜不适合这个做法。口感讲究嫩，脆，爽，不能过火。
汤团缸鸭狗	口感	甜	汤团缸鸭狗是浙江省汉族名小吃。口感软、糯、甜、香。
三代红	红	农	“三代红”是指三代都是工、农、兵、革命干部，所谓根正苗红。但凡贴上“三代红”标签的一族，就很高调地从周围同龄一代中分离出来，并且在招工培训上调入学参军甚至出国，都享有优先权，也可以称为“红色贵族”。
五姓财神	身色	白	五姓财神，梵名为瞻巴拉、阎婆罗、雾神，旧译布禄金刚。这五财神的身色，分别是绿、白、红、黄、黑财神。
公开调解	涉及	广	公开调解是指人民调解委员会在调解纠纷时，向当地群众公布调解时间、调解场所，邀请当事人亲属或朋友参加，允许群众旁听的调解方式。这种调解形式主要适用于那些涉及面广、影响大、当事人一方或双方有严重过错，并对群众有教育示范作用的纠纷。
上蔡县宁庄清真寺	主要姓氏	白	上蔡县宁庄清真寺，坐落在上蔡县朱里乡宁庄村村西南角。坊上有回民230人，主要居住在宁庄村。回民的主要姓氏有：白、杨、陈等姓氏。
庞清水村	主要姓氏	刘	庞清水村位于宋道口镇政府偏南0.5公里处。有273户，1012口人。主要姓氏有庞、刘、张。
曹家响堂	主要姓氏	甘	曹家响堂：湖北襄阳市樊西区王寨乡乔营村一组。人口约500人，主要姓氏为张、曹、李、甘等。
犁市村	主要姓氏	梁	犁市村位于广东省韶关市浈江区犁市镇中心，由5个自然村组成，主要姓氏有侯、李、钟、梁、叶、吴等·。
杜土村	主要姓氏	韩	杜土村位于宋道口镇政府西偏北2.5公里处。有430户，1611口人。主要姓氏有杜、赵、李、蔡、韩。
佳力	嫁接亲和力	强	佳力-砧木种子，耐低温，嫁接亲和力强，共生亲和力好；适于嫁接黄瓜、甜瓜；高抗枯萎病，对黄瓜、甜瓜品质无不良影响。
南汇皮影戏	常用乐器	笙	南汇皮影戏唱腔颇有特色，一般用浦东高腔和浦西平调。曲调有十五、六种，风格独特，有“噫腔”、“啊腔”、“嗨腔”、“哼腔”、“姆妈腔”、“叽改腔”等。皮影戏乐队常用乐器有二胡、笛、笙、三弦、唢呐，以及小堂鼓、小锣等。
五联整合疗法	机理	清	五联整合疗法是秉承祖国医学：清、消、散、调、补五大机理，结现代医学诊疗技术，彻底治愈乳腺病。
交通气象指数	根据	雾	交通气象指数是根据雨、雪、雾、沙尘、阴晴等天气现象对交通状况的影响进行分类，其中主要以能见度为标准，并包括对路面状况的描述。
乌玉块	气味	湿	释名：亦名乌金、陈玄、玄香、乌玉块。气味：辛、湿、无毒。
土朱	气味	寒	土朱释名代赭石，亦名须丸、血师、铁朱。气味苦、寒、无毒。
方茎	气味	甘	方茎释名：巨胜、狗虱、油麻、脂麻。叶名青蓑，茎名麻皆。气味：甘、平、无毒。
桧柽柳	气味	咸	桧柽柳是一种可供观赏，可药用的一种柳树，是柽柳科(Tamaricaceae)柽柳属(Tamarix)，有多个别称，气味甘、咸、温、无毒。
羌青	气味	甘	羌青释名：亦名羌活、羌青、独摇草、护羌使者、胡王使者、长生草。李明珍说：“独活、羌活乃一类二种，以中国者为独活；气味：苦、甘、平、无毒。
槐实	气味	苦	槐实，亦称槐角气味苦、寒、无毒。槐实即槐角，为豆科落叶乔木槐树的成熟果实。
花荞	气味	平	释名：翘、乌麦、花荞，气味：甘、平、寒、无毒。
薇草	气味	苦	亦名薇草、白幕、春草、骨美、。气味（根）苦、咸、平、无毒。
蜀漆	气味	平	蜀漆又名鸡尿草、鸭尿草、七叶，功效除痰；截疟，主治症瘕积聚，疟疾，气味辛、平、有毒。
鰟魮	气味	辛	鰟魮可用于以下「中药偏方」：威灵仙和乌药(急性腰部扭挫伤)释名：旁其、矮樟、乌药。气味：（根）辛、温、无毒。
黄桔鹃	气味	寒	黄桔鹃释名：天仙子、闹羊花、黄桔鹃、羊踯躅、横唐、行唐。气味：（子）苦、寒、无毒。
铁朱	气味	寒	释名代赭石，亦名须丸、血师、土朱、铁朱。气味苦、寒、无毒。
赤箭芝	气味	温	赤箭芝的根为天麻，药用部分指此。气味辛、温、无毒。
