宅的表现是不出门。	宅
累的时候会希望快点下班。	累
穷的时候会让自己别乱买东西。	穷
累的时候不想要说话。	累
睡的时候会做梦。	睡
睡前会关灯。	睡
饿的时候会想要猛吃。	饿
笑的时候会发出哈哈的声音。	笑
感觉苦的时候会想要吃甜的。	苦
累的时候会想呼呼大睡。	累
屋里臭的时候会想要喷芳香剂。	臭
困的时候会想要回床上睡觉。	困
玩的时候会有好心情。	玩
累的时候会想要到床上睡觉。	累
脏的时候会想要打扫卫生。	脏
渴的时候会想要找饮水机。	渴
渴的时候会想要找水喝。	渴
饿的时候会想要找泡面吃。	饿
烦的时候会很抓狂。	烦
地面脏的时候会想要拖地。	脏
累的时候会想要有人搥背。	累
热的时候会想要扇扇子。	热
累的时候会想要睡觉。	累
穷的时候会想薪水怎么还没发。	穷
累的时候会想要有人按摩。	累
玩的时候会非常开心。	玩
饿的时候会想要吃食物。	饿
饿的时候会想要吃馒头。	饿
买新鞋穿。	穿
买苹果吃。	吃
买菜吃。	吃
东西坏掉的时候会想要换新的。	换
作弊是为了顺利过考试。	过
不爱出门是你宅的表现。	宅
不知所措是你囧的表现。	囧
不赚钱的话，你会穷。	穷
不运动的话，你会胖。	胖
你和爱人分手的时候可能会哭。	哭
你会感觉很爽因为你中六合彩。	爽
如果久未进食，你会饿。	饿
你会感觉很爽因为你乐透中头彩。	爽
吃柠檬你会感觉很酸。	酸
喝了酒你可能会醉。	醉
夏天到了，你会感觉热。	热
如果太感动了，你会哭。	哭
如果你失恋了，你可能会哭。	哭
失血过多的话，你会死。	死
吐是害喜的一种表现。	吐
你会哭因为你心里不好受。	哭
你会笑因为你感觉愉快。	笑
你会笑因为你感觉愉悦。	笑
晕车的话，你可能会吐。	吐
你会感觉热因为气温过高。	热
没休息的话，你会累。	累
没吃东西的话，你会饿。	饿
没吃早餐的话，你会饿。	饿
没吃晚餐的话，你会饿。	饿
没吃饭的话，你会饿。	饿
没喝水的话，你会渴。	渴
没开冷气的话，你会热。	热
没睡觉的话，你会累。	累
如果消化完了，你会饿。	饿
你会喝水因为你渴。	喝
你会感觉痒因为你有牛皮癣。	痒
你会哭因为你的猫过世。	哭
你会哭因为你感觉痛苦。	哭
你会感觉痒因为你有皮肤病。	痒
当你在看喜剧时，你会笑。	笑
你会哭因为你不忍离别。	哭
你会想睡因为你累了。	睡
饿的时候，你肚子空空。	饿
被惹恼的话，你会发怒。	怒
如果想越过坑洞，你要跳。	跳
运动过后，你会感觉热。	热
你会变胖因为你都不运动。	胖
你会饿因为你闻到食物的香味。	饿
你的脚会痒因为你患有香港脚。	痒
你会累因为你骑车骑太久。	累
你会去整型因为你认为你丑。	丑
你的肚子会咕噜咕噜叫因为你饿。	饿
你会大笑因为你感觉很爽。	爽
你会引吭高歌因为你感觉很爽。	爽
你会胖因为你爱吃。	胖
因为累你会犯困。	累
你会自嗨因为你感觉很爽。	爽
你会高兴因为你感觉很爽。	爽
出生的时候会哭。	哭
去美国闯荡是为了钱。	钱
变成丑角是为了让别人笑。	笑
吃土司是为了让自己感到饱。	饱
嚎啕是哭的表现。	哭
害怕的时候会抖。	抖
当你想要买东西的时候你可能会上网拍。	买
当你出去玩的时候你可能会笑。	笑
当你哭的时候你可能会揉眼睛。	哭
当你哭的时候你可能会哽咽。	哭
当你想要飞到月亮上的时候你可能会学嫦娥吃药。	飞
当你想要哭的时候你可能会忧郁。	哭
当你想要钱的时候你可能会找临时工做。	钱
当你想要买东西的时候你可能会找最便宜的。	买
当你找朋友聊天时你可能会笑。	笑
当你想要哭的时候你可能会找朋友聊天。	哭
当你想要钱的时候你可能会做长工。	钱
当你想要买东西的时候你可能会拿钱。	买
当你哭的时候你可能会掉眼泪。	哭
当你哭的时候你可能会擦拭眼泪。	哭
当你想要买东西的时候你可能会比价。	买
当你泡泡面的时候你可能会想要水。	水
当你泡茶时你可能会想要水。	水
当你想要吃饭的时候你可能会洗米。	饭
当你哭的时候你可能会流眼泪。	哭
当你哭的时候你可能会热泪盈眶。	哭
当你想要买东西的时候你可能会看价钱。	买
当你想要哭的时候你可能会看喜剧片。	哭
当你想要哭的时候你的眼泪可能会打转。	哭
当你想要哭的时候你可能会自己一个人呆着。	哭
当你想要做一件事的时候你可能会评估它的风险。	做
当你向前冲的时候你可能会跌倒。	冲
当你想要买东西的时候你可能会逛街。	买
当你哭的时候你可能会闭眼睛。	哭
当你想要哭的时候可能因为难过。	哭
买了面包后，你可能会吃。	吃
因为饿，所以你会想要买面。	饿
当你想要买饭的时候你可能因为饿。	饿
当你想要买鸡腿的时候你可能因为饿。	饿
当你想喊人的时候你可能会叫。	叫
当你想要准备用餐具的时候你可能会洗餐具。	洗
当你想要动嘴巴的时候你可能要吃。	吃
当你想要宠物的时候你可能会买。	买
当你想要回家却回不去的时候你可能会哭。	哭
当你终于得奖的时候你可能会哭。	哭
当你想要拉棉被的时候说明你冷。	冷
当你流泪的时候你可能在哭。	哭
当你温习功课的时候你可能会累。	累
当你想要煮饭的时候你可能因为饿。	饿
当你想要打电动的时候你可能会玩。	玩
当你想要盖棉被的时候说明你冷。	冷
当你想要盖被子的时候说明你冷。	冷
当你想要睡觉时的时候说明你困了。	困
当你说梦话的时候你可能会笑。	笑
当你想要饭的时候你可能因为饿。	饿
想我的时候别人会想要哭。	哭
想要有钱应该要买乐透。	钱
想要有钱应该要争取晋升机会。	钱
想要有闲工夫应该要休假。	闲
想要有钱应该要做理财规划。	钱
想要变美应该要化妆。	美
想要有钱应该要去提款机取。	钱
想要有钱应该要去银行取。	钱
想要有钱应该要多找一份工打。	钱
想要变瘦应该要多运动。	瘦
想要有钱应该要做家教。	钱
想要变瘦应该要少吃。	瘦
想要有钱应该要发展人脉。	钱
想要存钱应该要慢慢花。	钱
想要变瘦应该要慢跑。	瘦
想要变瘦应该要戒宵夜。	瘦
想要变帅应该要打扮时尚。	帅
想要有钱应该要打工。	钱
想要喝酒应该要找朋友。	酒
想要有钱应该要有投资观念。	钱
企业想要赚钱应该要有企业创意力。	钱
企业想要赚钱应该要有企业道德。	钱
想要有钱应该要有权势。	钱
想要开车应该要有驾照。	车
有车的人应该熟悉交通规则。	车
想要有钱应该要省着吃。	钱
想要有钱应该要省着用。	钱
想要有钱应该要给父母存着。	钱
想要开车应该要考到驾照。	车
想要开车应该要考驾照。	车
想要有钱应该要懂得收放自如。	钱
想要有钱应该要付出。	钱
想要有闲工夫应该要规划时间。	闲
想要有钱应该要记账。	钱
想要有闲工夫应该要请假。	闲
想要变瘦应该要运动。	瘦
想要不无聊应该玩。	玩
想要乐观应该笑。	笑
想要有钱应该要赚。	赚
想要有名牌包应该要有钱。	钱
想要有宝徕应该要有钱。	钱
想要有宝徕毫宅应该要有钱。	钱
想要有小狼狗应该要有钱。	钱
想要有弹珠超人应该要有钱。	钱
想到有很多朋友应该要笑。	笑
想要有汽车应该要有钱。	钱
想要有漂亮的屋子应该要有钱。	钱
想要有猫应该要有钱。	钱
想要玩应该要有钱。	钱
想要有珠宝应该要有钱。	钱
想要睡觉应该要有床。	床
想要结婚应该要有钱。	钱
想要有老婆应该要有钱。	钱
想要有豪宅应该要有钱。	钱
想要有车应该要有钱。	钱
想要有风扇应该要有钱。	钱
想要有马子应该要有钱。	钱
想要死的时候会想跳楼。	死
打针疼的时候会想要哭。	哭
抠脚趾是因为痒。	痒
遇到挫折的时候会想要哭。	哭
攻城的时候会向前冲。	冲
买果汁是为了喝。	喝
潮是有格调的表现。	潮
削水果是为了吃。	吃
买照烧嫩鸡是为了吃。	吃
困的时候会想要睡。	睡
玩游戏是为了获得爽的感觉。	爽
玩电动是为了获得爽的感觉。	爽
玩电脑是为了获得爽的感觉。	爽
生孩子疼的时候会想要哭。	哭
看小说感动的时候会想要哭。	哭
搭积木是为了玩。	玩
看到豆花的时候会想要吃。	吃
运动是为了瘦。	瘦
累会导致不小心出车祸。	累
饱了就不想再吃了。	饱
渴会使人想买饮料。	渴
闲的时候会出去玩。	闲
灯会耗电。	灯
吵会导致听不见。	吵
叫会导致喉咙沙哑。	叫
叫会导致喉咙痛。	叫
冷的时候会围围巾。	冷
狗会对陌生人很凶。	狗
冷的时候会开暖炉。	冷
狗很忠心。	狗
臭会使人恶心。	臭
胖会导致人想减肥。	胖
饿了会想吃。	饿
饿了会想吃东西。	饿
饿了会想吃饭。	饿
冷的时候会想穿外套。	冷
人会发动战争。	人
人会玩手机。	人
饿了会找东西吃。	饿
冷的时候会拿暖暖包。	冷
臭会使人掩鼻。	臭
水是无色的。	水
狗是人类最好的朋友。	狗
水可以止渴。	水
狗会汪汪叫。	狗
累会令人没有精神。	累
水能清洗脏污。	水
火会烫伤人。	火
笑是因为看到有趣的事。	笑
线会缠绕成一团。	线
饿的时候肚子会叫。	饿
饿会导致胃痛。	饿
跑会脚酸。	跑
饿会导致血糖低。	饿
非法持枪会被查缉。	枪
坏人会被讨厌。	坏
水是透明的。	水
雨可能会造成水灾。	雨
闹钟会响。	响
鸟会飞。	飞
猪不用减肥。	猪
纸能用来书写。	纸
书能做的事情有帮助人了解历史。	书
纸能用来做成书本。	纸
开车能做的事情有兜风。	车
鱼会吃小虾米。	鱼
贼会吃牢饭。	贼
羊会咩咩叫。	羊
人能做的事情有念书写字。	人
手能做的事情有扇巴掌。	手
鱼能在水里生活。	鱼
书能做的事情有帮助人增长知识。	书
猫能做的事情有玩毛球。	猫
枪能做的事情有射击。	枪
狗能做的事情有当人类的好朋友。	狗
纸能用来折莲花。	纸
纸能用来折飞机。	纸
书能做的事情有帮助人提高分数。	书
书能做的事情有帮助人查阅新知。	书
牛能做的事情有犁田。	牛
药能止痛。	药
水能做的事情有冲马桶。	水
药能治病。	药
钱可以带来物质上的享受。	钱
钱可以用来环游世界。	钱
人会有苦恼。	人
树能让人乘凉。	树
酒可以让人喝醉。	酒
脚可以用来踢人。	脚
脚可以用来踹人。	脚
床可以用来躺着休息。	床
失败时会哭。	哭
忧郁时会哭。	哭
猫能做的事情有抓老鼠。	猫
狗能做的事情有汪汪叫。	狗
狗能做的事情有看家。	狗
子女会养老人。	养
醋是酸的。	酸
没钱是穷的。	穷
笔可以用来写字。	笔
猫会想要喵喵。	猫
笔可以用来画图。	笔
肚子饿会让你想要吃。	吃
北极会让你想到冷。	冷
南极会让你想到冷。	冷
吃汉堡会使你胖。	胖
宠物不见了会让你想要哭。	哭
宠物小鸡死掉会让你想要哭。	哭
撞到墙会让你想要哭。	哭
没吃午餐会让你感到饿。	饿
没吃宵夜会让你感到饿。	饿
没吃早餐会让你感到饿。	饿
没吃晚餐会让你感到饿。	饿
看感人的影片会让你想要哭。	哭
美食节目会让你感到饿。	饿
被冤枉的时候会让你想要哭。	哭
逛美食街会让你感到饿。	饿
追悼会让你想要哭。	哭
热了会脱衣服。	热
钱能让你买到很多东西。	钱
钱让你可以买东西。	钱
你想把钱存起来。	钱
水能维持生命。	水
笔能用来写字。	笔
钱可能会引来小偷。	钱
狗代表忠诚。	狗
药可以用来治病。	药
水可能用来浇花。	水
雨是甘霖。	雨
烟可能会引发肺癌。	烟
睡可能会引起落枕。	睡
花可能会引来蜜蜂。	花
花可能会引来蝴蝶。	花
不吃东西可能会让你饿。	饿
业余兼职可能会赚来钱。	钱
乐极可能会生悲。	悲
可乐会让你想要喝。	喝
吃太多可能会撑。	撑
吃鸡排可能会使人胖。	胖
看整夜的书会让你累。	累
喝很多水可能会想要尿。	尿
嘴角上扬代表笑。	笑
宅的意思是不出门。	宅
因为饿所以买宵夜。	饿
因为饿所以买菜做饭。	饿
因为饿所以买食物。	饿
因为饿所以买饭。	饿
口干舌燥是渴的表现。	渴
食物熟了可以吃。	熟
长得高有利于灌篮。	高
因为冷所以围着暖炉。	冷
宅的表现是待在家。	宅
因为有病所以在家休息。	病
小孩的天性是喜欢玩。	玩
巧克力的味道是甜的。	甜
因为饱所以打嗝。	饱
因为房间脏所以要打扫。	脏
因为累所以找按摩师按摩。	累
因为热所以拿扇子扇。	热
哭的时候会擦眼泪。	哭
壮的表现是有肌肉。	壮
因为冷所以要盖棉被。	冷
因为渴所以要喝水。	渴
因为脏所以要洗干净。	脏
灯的作用是照耀。	灯
因为渴所以烧开水喝。	渴
因为热所以吹电风扇。	热
因为胖所以想瘦身。	胖
渴的时候需要补充水分。	渴
因为有病所以要吃药。	病
因为有病所以要看医生。	病
因为对钱有贪念所以贪污。	钱
和熟的人相处比较轻松。	熟
一直吃的话会感觉饱。	饱
因为下雨所以地面很湿。	湿
不断地吃会感觉很饱。	饱
乌龟的速度很慢。	慢
因为事情一大堆所以感觉很烦。	烦
因为事情多所以感觉很烦。	烦
亲人去世的时候会哭。	哭
身上痒的时候会不自觉去抓。	抓
伤心难过的时候会哭。	哭
做家务让人感觉很累。	累
关灯之后会很黑。	黑
冬天的时候感觉很冷。	冷
因为冷气坏了所以感觉热。	热
化妆让人变得美。	美
因为吃了又吃所以感觉很饱。	饱
吃得少一般比较瘦。	瘦
夏天通常比较热。	热
因为有太多脂肪所以胖。	胖
囧是指在某种情况下很尴尬。	囧
幽默的人会让人想笑。	笑
因为很饿所以要吃东西。	吃
懒得出门是宅的表现。	宅
拉屎很臭。	臭
摔跤让人感觉痛。	痛
放屁很臭。	臭
因为晚饭吃太少所以饿。	饿
穷是指一个人没有钱。	穷
因为食物消化完了所以会感觉饿。	饿
被蚊子咬的地方很痒。	痒
山的形成可能因为地壳挤压。	山
大便很臭。	臭
大太阳会让人觉得热。	热
家教可以赚钱。	钱
快乐的时候你会想笑。	笑
怀孕的症状是想吐。	吐
悲痛的时候想哭。	哭
愉悦的时候会想笑。	笑
懂得理财可以赚到钱。	钱
成功的投资可以赚到钱。	钱
打哈欠代表你想睡。	睡
把猫卖掉可以获得钱。	钱
抠喉咙会让你想吐。	吐
抢劫是为了钱。	钱
抢银行是为了钱。	钱
提款是指取出钱。	钱
从车上摔下来让人感觉痛。	痛
晕机的时候想吐。	吐
晕船的时候想吐。	吐
晕车的时候吐。	吐
乌云的出现表示可能要下雨。	雨
有钱可以买东西。	买
没心跳表示一个人死了。	死
没收入会让人变穷。	穷
吃泡面会让你饱。	饱
淋雨会让人感觉很冷。	冷
熬夜太久让人很想睡。	睡
爬山可能让人感觉累。	累
电灯可以带来光。	光
电灯可以使环境变亮。	亮
疲倦会让你想睡。	睡
看悲剧的时候可能会哭。	哭
红包里一般有钱。	钱
继承遗产可以获得钱。	钱
缺东西的话会去买。	买
羽毛挠脚底会让你痒。	痒
股票涨可以赚到钱。	钱
被甩巴掌让你感觉痛。	痛
被蚊子叮的地方会痒。	痒
被蚊子咬的地方会痒。	痒
裤子穿反会让人感觉糗。	糗
过敏会让人感觉痒。	痒
运动过量可能让人感觉累。	累
镜子是用来照的。	照
难过的时候会想哭。	哭
饮料是用来喝的。	喝
高气温代表天气热。	热
吐可能代表吃到脏东西。	吐
吐可能代表吃坏东西。	吐
吐可能代表吃太多。	吐
笑可能代表喜悦。	笑
笑可能代表喜欢。	笑
吐可能代表喝醉酒。	吐
笑可能代表在玩乐。	笑
笑可能代表客套。	笑
笑可能代表尴尬。	笑
笑可能代表心情好。	笑
吐可能代表怀孕。	吐
笑可能代表愉快。	笑
哭可能代表感动。	哭
钱可能代表慾望。	钱
嗨可能代表打招唿。	嗨
笑可能代表掩饰。	笑
笑可能代表敷衍。	笑
哭可能代表无理取闹。	哭
打可能代表暴力。	打
叫可能代表有事情。	叫
笑可能代表有把握。	笑
痒可能代表有蚊子。	痒
花可能代表治丧。	花
笑可能代表满意。	笑
酒可能代表狂欢。	酒
痒可能代表要抓一下。	痒
钱可能代表财富。	钱
钱可能代表钞票。	钱
吐可能代表食物中毒。	吐
累的时候，你会不想动。	累
